AAPL,MSI,SBUX,SMA_AAPL,SMA_MSI,SMA_SBUX,EMA_AAPL,EMA_MSI,EMA_SBUX,RSI_AAPL,RSI_MSI,RSI_SBUX
64.9271,61.67,28.415,62.163700000000006,62.34571428571429,28.59017857142857,63.1409629249695,62.03180191278779,28.532352082241513,51.94877929799816,51.54030302881743,48.28884550241516
64.5828,62.4,28.715,62.27267857142858,62.35928571428571,28.682321428571424,63.3332078683069,62.08089499108275,28.556705137942643,50.379719283194326,57.818095035989245,52.75745063663071
64.6756,62.43,28.525,62.4998142857143,62.387857142857136,28.760178571428565,63.51219348586598,62.12744232560505,28.552477786216958,50.81096830066913,58.058560460115004,49.821035042728234
65.9871,63.61,28.69,62.926957142857155,62.46714285714285,28.820178571428563,63.842181021083846,62.325116682191045,28.57081408138803,56.55730025188355,66.21644015455485,52.30378326324166
66.2256,63.29,28.345,63.25793571428573,62.489999999999995,28.826607142857135,64.15997021827266,62.45376779123224,28.540705537202957,57.52897288895673,62.65719760128289,47.06067346526142
65.8765,63.46,28.525,63.619914285714295,62.51499999999999,28.82482142857142,64.3888408558363,62.58793208573461,28.538611465575897,55.569732952265916,63.77130752515971,49.88344145020254
64.5828,63.56,28.455,63.83927857142858,62.58071428571428,28.776964285714275,64.41470207505813,62.71754114096999,28.52746327016578,48.92065155203335,64.443321163676,48.79382941186005
63.2371,64.03,28.475,63.9509142857143,62.672142857142845,28.715535714285704,64.25768846505038,62.892535655507324,28.52046816747701,43.1385203453646,67.49512406113674,49.135687064789806
61.2728,63.7,28.435,63.85948571428572,62.753571428571426,28.653392857142848,63.859703336376995,63.000197568106344,28.509072411813406,36.379330302030006,63.381731514949145,48.43916585967086
61.3988,63.7,29.13,63.873385714285725,62.86571428571428,28.652678571428563,63.53158289152673,63.0935045590255,28.591862756904952,37.06056950695003,63.381731514949145,59.24833207008619
61.7128,62.8,28.85,63.91052857142858,62.90714285714285,28.62107142857142,63.289078505989835,63.054370617822094,28.626281055984293,38.81875028317383,53.138539639233194,54.30864812224614
61.1028,62.99,29.055,63.86175000000001,62.95357142857142,28.636428571428564,62.99757470519119,63.04578786877915,28.683443581853055,36.675365984323356,54.799319082727614,57.12695254144364
60.4571,62.67,28.9,63.65297857142857,62.99642857142856,28.641428571428566,62.658844744499035,62.9956828196086,28.712317770939315,34.50362110557617,51.4895599940744,54.39498655446652
60.8871,63.17,29.06,63.35185714285715,63.10571428571427,28.683928571428567,62.42261211189916,63.01892511032745,28.75867540148074,37.17177863792095,55.9648895416632,56.69708721344532
60.9971,63.64,28.705,63.07114285714287,63.24642857142856,28.70464285714285,62.23254383031261,63.10173509561712,28.751518681283308,37.86906469646089,59.72608729695861,50.59457412612548
62.2414,64.69,28.9,62.90390000000001,63.40999999999998,28.717857142857135,62.233724652937596,63.31350374953484,28.771316190445532,45.26868145251355,66.59141515953253,53.55194919176637
62.0471,64.63,29.2875,62.716150000000006,63.56714285714285,28.772321428571423,62.20884136587925,63.48903658293019,28.84014069838613,44.37984973054527,65.90010931639476,58.82634760639681
61.3999,63.87,29.545,62.38849285714286,63.585714285714275,28.833392857142854,62.10098251709535,63.53983170520616,28.93412193860131,41.459743170901795,57.72550484649606,61.92079775045768
59.9785,61.83,28.855,61.94227142857143,63.481428571428566,28.86982142857143,61.81798484814931,63.311854144512004,28.923572346787804,35.87651242629327,42.48969650218014,50.88486044096984
60.8914,62.96,29.28,61.58619285714286,63.44571428571428,28.923750000000002,61.6944402017294,63.26494025857707,28.971096033882763,41.3402606417429,50.312740370285134,56.0774580694587
57.5428,62.13,29.085,61.08333571428572,63.343571428571416,28.96875,61.14088817483215,63.1136148907668,28.98628322936506,30.929702129148822,45.42498734354604,53.29343173087309
56.0071,61.15,28.86,60.56690714285714,63.13785714285713,28.99625,60.45638308485453,62.851799571997894,28.96944546544972,27.50838236547307,40.430682779836346,50.19677257887347
55.7899,61.72,29.2025,60.17527142857143,62.99642857142856,29.051071428571426,59.834185340207256,62.70089296239817,29.000519403389756,27.0525922162175,44.268748997014804,54.528141395546534
56.9528,61.78,29.32,59.8577,62.8592857142857,29.064642857142854,59.45000062817962,62.578107234078416,29.043116816271123,33.41395729339535,44.67284934432424,55.943731008721855
58.0185,61.75,29.695,59.593821428571424,62.7842857142857,29.124999999999996,59.25913387775567,62.467692936201296,29.13003457410164,38.690455835403604,44.49911069081986,60.20200798704673
57.9231,56.02,29.915,59.366699999999994,62.28642857142855,29.186428571428568,59.08099602738825,61.60800054470779,29.234696630888088,38.39712386163534,24.722212361109722,62.49245836803716
58.3399,56.39,30.25,59.215471428571426,61.837857142857125,29.282857142857143,58.982183223736484,60.912267138746756,29.37007041343634,40.51889531808121,26.978978407990923,65.72704023850962
59.6007,56.8,30.0,59.1235857142857,61.38285714285713,29.349999999999998,59.06465212723829,60.36396485358052,29.454061024978163,46.51951526994244,29.501115860552435,61.46692891579206
61.4457,57.44,30.29,59.15562857142856,60.93999999999999,29.463214285714287,59.38212517693985,59.974102873103114,29.565519554981073,53.85569640506716,33.369879908244656,64.35321829455779
63.2542,57.2,30.42,59.227971428571415,60.40499999999999,29.571785714285717,59.898401820014534,59.6042224900227,29.6794502809836,59.692409836187906,32.64637592143742,65.59724445962944
62.7557,56.37,30.07,59.278585714285704,59.81499999999999,29.62767857142857,60.279374910679266,59.17299282468634,29.731523576852453,57.53221605926924,30.207173154602796,59.569655205307456
63.6457,56.89,30.19,59.438999999999986,59.31642857142856,29.673750000000002,60.72821825592203,58.86859378139483,29.792653766605458,60.29488939490829,33.556630928318604,60.89635653126587
64.2828,57.29,30.935,59.74644999999998,58.99214285714284,29.822321428571428,61.20216248846576,58.658114610542185,29.94496659772473,62.1910155588989,36.09716584988087,67.931913375132
65.8156,56.95,31.24,60.098178571428555,58.562857142857126,29.962321428571425,61.81728749000366,58.43036599580323,30.1176377180281,66.35410273588444,34.87646406339793,70.28875476129403
65.5225,56.79,31.095,60.668157142857126,58.181428571428555,30.105892857142855,62.31131582466983,58.21165052969613,30.247952688957685,64.88292241825415,34.28881945330248,67.73984561052106
66.2628,57.0,31.205,61.40070714285712,57.884999999999984,30.273392857142852,62.838180381380525,58.05009712573665,30.37555899709666,66.8803041753788,35.81738378295544,68.66809500446521
65.2528,56.78,31.18,62.07662857142855,57.53214285714284,30.414642857142855,63.160129663863124,57.8807508423051,30.482817797483772,61.722284310400354,34.90142551705313,68.18787813082434
64.7099,56.48,31.5485,62.630707142857126,57.15357142857141,30.573821428571424,63.36676570868138,57.69398406333109,30.62490875781927,59.084487174208725,33.638152504725674,71.3665010116011
64.9628,56.17,31.41,63.12672857142855,56.75499999999998,30.696321428571427,63.5795702808572,57.49078618822028,30.729587590110032,59.94328009622409,32.33570130662955,68.59241804717814
63.4085,56.89,31.76,63.51854285714284,56.817142857142834,30.82810714285714,63.556760910076235,57.41068136312424,30.866975911428696,52.63159187541255,38.31015863772112,71.59705101994756
61.2642,57.1,32.035,63.727421428571404,56.867857142857126,30.955607142857136,63.25108612206607,57.369257181374344,31.022712456571536,44.55687558593885,39.97488688099919,73.72403824341075
62.0825,57.53,31.775,63.904692857142834,56.91999999999998,31.08239285714285,63.09527463912393,57.390689557191095,31.123017462361997,47.84528606119823,43.346152325115426,68.5009945164637
61.8942,57.84,32.065,63.936728571428546,56.94857142857142,31.209178571428563,62.9351313539074,57.45059761623228,31.248615134047064,47.15223841429179,45.71333119907598,70.97130421472328
63.2757,58.25,31.915,63.93826428571426,57.023571428571415,31.315964285714276,62.98054050671975,57.557184600734644,31.337466449507456,52.57943905379645,48.762599241133145,68.00069281489473
62.8085,57.77,32.125,63.94203571428569,57.12357142857142,31.462749999999993,62.95760177249045,57.585559987303355,31.442470922906463,50.68380239984723,45.537704056987316,69.90019360437798
63.0505,57.3,32.075,63.8995214285714,57.15285714285712,31.597392857142847,62.96998820282506,57.54748532232957,31.5268081331856,51.6560535476921,42.56902170919114,68.85221548510289
63.1628,57.48,31.76,63.8195214285714,57.16642857142856,31.65632142857142,62.995696442448384,57.538487279352296,31.557900382094186,52.127706103579506,44.07277031498192,62.495300146938334
63.5928,57.81,31.68,63.660749999999965,57.22785714285713,31.68774999999999,63.07531025012193,57.574688975438654,31.574180331148295,53.97913997642129,46.82185624649795,60.956049178306216
63.0627,58.53,32.13,63.48504999999996,57.352142857142844,31.761678571428565,63.07362888343901,57.7020637787135,31.648289620328523,51.342937801118396,52.32781900017772,66.0251084220225
63.5642,58.32,31.815,63.29229285714282,57.44642857142856,31.805249999999994,63.13903836564714,57.78445527488503,31.670517670951387,53.64919556520946,50.67963734623723,60.13919408423802
64.5114,58.54,31.735,63.23933571428568,57.57214285714285,31.84489285714285,63.322019916894185,57.88519457156703,31.679115314824536,57.72489451249398,52.3721107257572,58.70778224349012
64.2478,57.96,31.57,63.20632857142853,57.677857142857135,31.846428571428564,63.44545726130829,57.89516862869142,31.664566606181264,56.24271934762143,47.72257635209263,55.75991613536877
